id,db_created_time,session_created_time,user_id,session_type
139,2024-05-03 07:32:22.698229+00,1714712272204,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
140,2024-05-03 09:41:28.376556+00,1714729286002,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
141,2024-05-03 10:47:36.789628+00,1714733255313,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
142,2024-05-03 10:58:38.299073+00,1714729286002,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
143,2024-05-03 11:00:15.435496+00,1714734014471,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
144,2024-05-03 14:33:35.467412+00,1714746813376,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
145,2024-05-03 14:41:46.509181+00,1714747304484,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
146,2024-05-03 18:04:48.878047+00,1714734014471,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
147,2024-05-03 18:04:54.45202+00,1714759492896,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
148,2024-05-04 11:37:27.161352+00,1714759492896,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
149,2024-05-04 11:37:34.247492+00,1714822653476,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
150,2024-05-04 14:18:32.605012+00,1714822653476,user_2fU9K3LbleJBLUzLKPq1rrFoca0,ended
151,2024-05-04 14:18:34.163467+00,1714832313415,user_2fU9K3LbleJBLUzLKPq1rrFoca0,started
152,2024-05-04 14:34:00.961177+00,1714680991156,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,ended
153,2024-05-04 14:34:40.668196+00,1714833277945,user_2g0T1Br9uzrjdZGtjkkR1cDmyhr,started
154,2024-05-04 14:38:04.558991+00,1714833483584,user_2g0TR5Pwy2zl5VsjB7SekK7cMBJ,started
155,2024-05-04 14:40:39.070465+00,1714833638248,user_2g0TkZmouNGFFx4CUmeuTtFrqi5,started
156,2024-05-04 14:48:41.108001+00,1714746813376,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,ended
157,2024-05-04 14:49:21.382779+00,1714834160304,user_2g0UoAO8QGOLkagXUDz1v2l1RSQ,started
158,2024-05-04 14:51:19.453356+00,1714834278174,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,started
159,2024-05-04 14:52:18.919579+00,1714834278174,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,ended
160,2024-05-04 14:52:37.845214+00,1714834356337,user_2g0VCpltKYhstHoTs8v0UKP5lUg,started
161,2024-05-04 14:53:46.63771+00,1714834424230,user_2g0VLGejrrZ1bz1dr5hTO6W2d08,started
162,2024-05-04 14:56:29.849897+00,1714834587458,user_2g0VfrMZfMojJrl2mgy95P1WCi2,started
163,2024-05-04 15:00:24.386421+00,1714834820706,user_2g0W92U5av0tCF7eONqUZI7LZct,started
164,2024-05-04 15:01:43.222095+00,1714834901400,user_2g0WJEkzjy6sgZYz9ov7E1Awol8,started
165,2024-05-04 15:04:03.20355+00,1714835041801,user_2g0WatCSXj7VCotRqSMyUOELwG3,started
166,2024-05-04 15:06:20.99701+00,1714835179418,user_2g0WsAvAse8XaWs9cUrPrlIs3uq,started
167,2024-05-04 15:11:45.906553+00,1714835503663,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
168,2024-05-04 15:15:14.189127+00,1714835711691,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,started
169,2024-05-04 15:31:00.549232+00,1714836658724,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
170,2024-05-04 17:49:01.507025+00,1714844939066,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
171,2024-05-04 17:56:38.214562+00,1714836658724,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
172,2024-05-04 17:57:18.099972+00,1714845435233,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
173,2024-05-04 17:58:21.431081+00,1714845499019,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
174,2024-05-05 07:36:40.313908+00,1714894598855,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
175,2024-05-05 13:49:59.693784+00,1714916997890,user_2fubEqFupXMtlGz9D2mSCro6Upu,started
176,2024-05-06 05:19:01.469334+00,1714844939066,user_2fubEqFupXMtlGz9D2mSCro6Upu,ended
177,2024-05-06 05:20:02.978566+00,1714972801727,user_2g51oklRG5K4Jw7OHYKRSaYLCXZ,started
178,2024-05-06 05:21:10.944529+00,1714972801727,user_2g51oklRG5K4Jw7OHYKRSaYLCXZ,ended
179,2024-05-06 06:17:19.284447+00,1714976237353,user_2g58mZznf8ETmURduCDI7IrE3LM,started
180,2024-05-06 10:49:09.81643+00,1714845435233,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
181,2024-05-06 11:35:53.323986+00,1714995351577,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
182,2024-05-06 15:25:18.714167+00,1715009116770,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
183,2024-05-06 18:22:34.784816+00,1714995351577,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
184,2024-05-06 18:22:43.302541+00,1715019760518,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
185,2024-05-06 19:44:19.686897+00,1715009116770,user_2g0rf4MAyMDvUQSGjelanxWm1ba,ended
186,2024-05-06 19:44:28.577539+00,1715024666889,user_2g0rf4MAyMDvUQSGjelanxWm1ba,started
187,2024-05-06 20:33:46.117961+00,1715027624021,user_2g6owFZEWj02UuYkys7FSBVNWbM,started
188,2024-05-07 09:25:41.735081+00,1715027624021,user_2g6owFZEWj02UuYkys7FSBVNWbM,ended
