id,created_at,user_id,slant,complexity,entertainment,sentiment
379,2024-05-03 19:34:48.565389+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
380,2024-05-03 19:35:00.263888+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
381,2024-05-03 20:01:52.026241+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
382,2024-05-04 05:23:52.24751+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
383,2024-05-04 05:24:11.082478+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,100,0,0,0
384,2024-05-04 06:05:35.577736+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
385,2024-05-04 06:07:27.373995+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
386,2024-05-04 11:37:19.558786+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
387,2024-05-04 11:37:46.861336+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
388,2024-05-04 11:38:04.163526+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
389,2024-05-04 11:38:40.485966+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,100
390,2024-05-04 12:10:11.028647+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
391,2024-05-04 12:10:32.968123+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,100,0,0
392,2024-05-04 12:29:45.303916+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
393,2024-05-04 13:12:32.494156+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
394,2024-05-04 13:27:10.533691+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
395,2024-05-04 13:31:50.758056+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
396,2024-05-04 14:11:39.68074+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
397,2024-05-04 14:19:33.95552+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
398,2024-05-04 14:27:30.265683+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
399,2024-05-04 14:30:44.659647+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
400,2024-05-04 14:33:53.385076+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
401,2024-05-04 14:35:14.453709+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
402,2024-05-04 14:41:02.350504+00,user_2g0TkZmouNGFFx4CUmeuTtFrqi5,50,50,50,50
403,2024-05-04 14:41:10.431743+00,user_2g0TkZmouNGFFx4CUmeuTtFrqi5,50,50,50,50
404,2024-05-04 14:44:54.053619+00,user_2g0TkZmouNGFFx4CUmeuTtFrqi5,50,50,50,50
405,2024-05-04 14:45:15.572376+00,user_2g0TkZmouNGFFx4CUmeuTtFrqi5,50,0,0,0
406,2024-05-04 14:48:32.198579+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
407,2024-05-04 14:48:55.085452+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
408,2024-05-04 14:51:21.717881+00,user_2fvB9y7IeaXVbRY8tfNgvplLjfH,0,0,0,0
409,2024-05-04 14:58:16.460328+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
410,2024-05-04 15:00:22.309793+00,user_2fU9K3LbleJBLUzLKPq1rrFoca0,50,0,0,0
411,2024-05-04 15:06:21.199544+00,user_2g0WsAvAse8XaWs9cUrPrlIs3uq,50,0,0,0
412,2024-05-04 15:06:32.378898+00,user_2g0WsAvAse8XaWs9cUrPrlIs3uq,50,0,0,0
413,2024-05-04 15:11:45.873547+00,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,50,0,0,0
414,2024-05-04 15:11:48.892746+00,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,50,0,0,0
415,2024-05-04 15:15:16.619349+00,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,50,0,0,0
416,2024-05-04 15:15:19.824886+00,user_2g0XWvlLvSUT1xsW1jkbkp4orYi,50,0,0,0
417,2024-05-04 15:31:02.569822+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
418,2024-05-04 17:46:57.300257+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
419,2024-05-04 17:49:05.684281+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,100
420,2024-05-04 17:56:32.778724+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,100
421,2024-05-04 17:57:26.607045+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,100,0,0
422,2024-05-04 17:57:38.580296+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,100
423,2024-05-04 17:57:43.435622+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
424,2024-05-04 17:59:07.577567+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
425,2024-05-04 17:59:12.919885+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,100
426,2024-05-04 18:05:06.12519+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
427,2024-05-04 18:42:40.829207+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
428,2024-05-04 19:31:25.697773+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
429,2024-05-04 20:09:10.110289+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
430,2024-05-04 20:09:47.318216+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
431,2024-05-05 07:34:56.513776+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
432,2024-05-05 07:36:52.914844+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
433,2024-05-05 07:43:45.911517+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
434,2024-05-05 12:03:09.067252+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
435,2024-05-05 13:50:20.2723+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
436,2024-05-05 13:51:13.758457+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
437,2024-05-05 15:49:20.557731+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
438,2024-05-06 05:18:56.552861+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
439,2024-05-06 05:20:02.558967+00,user_2g51oklRG5K4Jw7OHYKRSaYLCXZ,50,0,0,0
440,2024-05-06 05:20:07.985363+00,user_2g51oklRG5K4Jw7OHYKRSaYLCXZ,50,100,0,0
441,2024-05-06 05:20:32.101216+00,user_2g51oklRG5K4Jw7OHYKRSaYLCXZ,50,0,0,100
442,2024-05-06 06:17:08.373438+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,100,0
443,2024-05-06 06:17:19.244481+00,user_2g58mZznf8ETmURduCDI7IrE3LM,50,0,0,0
444,2024-05-06 06:17:58.399714+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,100
445,2024-05-06 06:18:10.272652+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,100,0,0,0
446,2024-05-06 06:18:18.176986+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,0,0,0,0
447,2024-05-06 06:19:08.453231+00,user_2g58mZznf8ETmURduCDI7IrE3LM,50,0,100,0
448,2024-05-06 06:20:30.437826+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
449,2024-05-06 06:21:38.331775+00,user_2g58mZznf8ETmURduCDI7IrE3LM,50,100,0,0
450,2024-05-06 06:21:39.202393+00,user_2fubEqFupXMtlGz9D2mSCro6Upu,50,0,0,0
451,2024-05-06 06:27:42.848207+00,user_2g58mZznf8ETmURduCDI7IrE3LM,50,0,0,0
452,2024-05-06 06:28:05.43797+00,user_2g58mZznf8ETmURduCDI7IrE3LM,50,100,0,0
453,2024-05-06 08:52:53.06599+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
454,2024-05-06 10:48:33.27216+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
455,2024-05-06 11:36:01.549691+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,50,0,0,0
456,2024-05-06 11:38:25.37189+00,user_2g0rf4MAyMDvUQSGjelanxWm1ba,100,0,0,0
